Year,Ticker,CEO,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral,Year_Cum_Ret_Overall,Tenure_Cum_Ret_Overall,Image Path
2018,AMD,Lisa Su,41.0,Man,asian,happy,0.2470039529725909,99.75300431251526,98.94315594095922,0.1683743421695734,0.0015999298783326,0.1821345641804971,0.0005917568057897,0.7041444490340024,2.81741794339041e-06,2.5251239697842744e-12,1.605504479362807e-08,86.89187169075012,3.862423625378142e-05,4.793201924258028e-06,13.108092546463013,1.7957198019437297,11.762274367919664,
2019,AMD,Lisa Su,39.0,Man,asian,happy,18.558646738529205,81.44135475158691,84.44109559059143,6.9748446345329285,0.435661943629384,2.285423129796982,0.7567856926470995,5.1061902195215225,0.0108450360130518,4.353487383923493e-05,18.97028088569641,76.33479237556458,0.1321533578447997,0.5997045431286097,3.952179476618767,2.465872303106021,11.762274367919664,
2019,TYL,Lynn Moore Jr.,27.0,Man,white,happy,0.2680363599210977,99.73196387290956,0.0074290174109263,0.0099930325542966,0.0003997662566706,94.29641433996984,2.8591147009593603,2.8266437707371983,3.6724898973662995e-12,5.3962685291739014e-20,3.696520338546935e-14,99.98821020126344,1.574941739523883e-09,2.722769121277224e-07,0.0117939220217522,1.605639724418822,1.605639724418822,
2010,CRM,Marc Benioff,47.0,Man,latino hispanic,neutral,0.3057382069528103,99.69425797462463,14.585235714912416,4.088123142719269,2.354976162314415,31.7892462015152,11.65725439786911,35.5251669883728,8.346933621533678,0.0362700710375149,11.275812384389354,8.185982473375502,5.97001652776998,3.887420056769841,62.29756327896556,1.7642344138401032,8.68431009190066,
2011,CRM,Marc Benioff,41.0,Man,white,angry,0.0006620379735977,99.99933242797852,0.3457944374531507,0.820306409150362,0.100178481079638,62.01172471046448,18.163731694221497,18.558263778686523,94.60234609856283,0.0005675690656027,0.8019107871896498,1.6622453056124036,1.6752776757048176,0.0068554971669817,1.2508033589007472,0.7686363246339261,8.68431009190066,
2012,CRM,Marc Benioff,26.0,Man,white,happy,0.0034687735023908,99.99653100967409,12.757235765457152,4.020174965262413,1.6328081488609314,35.58240234851837,17.293716967105865,28.713658452034,0.0001682946717931,2.841048010768348e-07,4.149831872349188e-05,82.93782966958462,0.027913782313915,0.0022199068057341,17.031830074300174,1.6568106535974487,8.68431009190066,
2013,CRM,Marc Benioff,44.0,Man,white,neutral,0.0146470803883858,99.9853491783142,1.0152633301913738,0.8284512907266617,0.466521643102169,61.74713969230652,11.02832406759262,24.914301931858063,29.463297128677368,0.000113246494493,16.15411788225174,0.0274624413577839,5.12794516980648,0.2124803140759468,49.01458621025085,1.3132657263861365,8.68431009190066,
2014,CRM,Marc Benioff,47.0,Man,white,fear,0.0004999583325115,99.99949932098389,8.272744715213776,1.162993162870407,0.2524670213460922,66.47276878356934,9.979447722434998,13.85958343744278,2.322925627231598,0.5273663438856602,59.01769399642944,21.87357246875763,6.16302564740181,0.9476511739194392,9.1477669775486,1.0746513908029045,8.68431009190066,
2015,CRM,Marc Benioff,41.0,Man,white,sad,0.0137337483465671,99.98626708984376,5.584062968734679,8.217408997858106,2.3707702306372065,33.086328690429255,26.859535387726748,23.881894283407583,1.9161262039692648,0.0021006479758726,7.08090076814899,3.223167744060486,87.04022610667063,0.0243084883424327,0.7131697994524001,1.3218680030793266,8.68431009190066,
2016,CRM,Marc Benioff,,,,,,,,,,,,,,,,,,,,0.873214337520103,8.68431009190066,
2017,CRM,Marc Benioff,40.0,Man,latino hispanic,sad,0.0119817057566251,99.98801946640016,14.456790057229403,8.46416851664594,7.498168647180119,25.038303437131848,15.556066665414969,28.986503421455826,0.2403350081294775,0.0055227566917892,5.680152028799057,0.0040284267015522,92.0531153678894,0.0055408680054824,2.0113032311201096,1.4932807668348411,8.68431009190066,
2018,CRM,Marc Benioff,51.0,Man,white,happy,0.0002229000301667,99.99977350234984,0.4398359713605625,0.5363150819429804,0.0765441147599586,78.32221855653636,11.727292789655491,8.897795313465316,0.0036572595851631,2.969704836969028e-06,7.262178198228967,88.16825676967244,0.0060466627440055,0.1789643303060132,4.380901418978061,1.3398218797863288,8.68431009190066,
2019,CRM,Marc Benioff,47.0,Man,white,happy,0.0398854026570916,99.9601185321808,5.647332966327667,4.798516631126404,2.223293110728264,39.129894971847534,23.44975620508194,24.75120723247528,0.5810410249978304,0.0116090399387758,46.68794870376587,47.22704291343689,0.1184962457045912,0.3904021345078945,4.983466863632202,1.1859531945942188,8.68431009190066,
2012,MU,Mark Durcan,39.0,Man,white,happy,0.0522776856087148,99.9477207660675,1.6117964591140938e-07,1.7880000768772088e-07,9.393397210682078e-10,99.99389052354636,0.0041011974360809,0.0020109260110876,1.7769796847291842e-07,2.000111805871013e-11,2.5830172252779143e-06,99.98198151803236,2.85935756514235e-06,4.3464657798495294e-06,0.0180101466315809,1.0079490429975688,3.4848964305842545,
2013,MU,Mark Durcan,32.0,Man,white,neutral,0.2475301502272486,99.75246787071228,0.2684018254695147,0.3573092671711126,0.0195008242771909,87.64758853345054,7.266311226330849,4.440880409970235,3.631005436182022,4.565621912479401,22.05776274204254,27.84970998764038,7.226238399744034,2.2751014679670334,32.39455819129944,3.430599853735872,3.4848964305842545,
2014,MU,Mark Durcan,40.0,Man,white,happy,0.0077364689786918,99.99226331710815,8.774526014490518e-06,1.1724079508486691e-05,7.391069097184564e-08,99.98216033194538,0.0114241361212549,0.0063927880201704,1.8168782007143065e-07,6.052841050649206e-13,4.145593893239849e-07,99.95139240928845,1.1688619658309907e-06,3.01520163712144e-05,0.0485803553454044,1.6096550804851666,3.4848964305842545,
2015,MU,Mark Durcan,53.0,Man,white,angry,0.0044563370465766,99.9955415725708,0.0010630792254869,7.364776783306762e-07,2.3283901196041653e-08,99.99482035606027,0.0006065514660358,0.0035105329789678,50.47743621334053,1.3595303827043456e-05,48.93009954274294,0.1697909653807262,0.4226528360040686,1.2614283980943124e-08,1.3389300422642184e-05,0.4044558457319828,3.4848964305842545,
2016,MU,Mark Durcan,38.0,Man,white,happy,0.0215082254726439,99.97848868370056,6.402260055438092e-06,5.714972317605316e-06,3.4382055535964184e-08,99.9837875366211,0.0097755619208328,0.0064278545323759,6.465620816520358e-08,4.92853192754152e-16,1.340513533509835e-08,99.99995231628418,7.212835190228972e-09,1.6191060644987763e-09,4.703761362634396e-05,1.5480225848582123,3.4848964305842545,
2013,TER,Mark E. Jagiela,29.0,Man,white,happy,0.0143696423037908,99.98562335968018,1.2496370822191238,0.6479607429355383,0.0852171564474701,77.29771137237549,11.425309628248216,9.294165670871736,0.0001426882989085,3.653262152774021e-12,1.636586315659641e-06,92.78330292900766,0.0002137689052514,0.0092407284580979,7.207096253979652,1.043221204537001,4.311950326934062,
2014,TER,Mark E. Jagiela,29.0,Man,white,happy,0.0143696423037908,99.98562335968018,1.2496370822191238,0.6479607429355383,0.0852171564474701,77.29771137237549,11.425309628248216,9.294165670871736,0.0001426882989085,3.653262152774021e-12,1.636586315659641e-06,92.78330292900766,0.0002137689052514,0.0092407284580979,7.207096253979652,1.133712914633476,4.311950326934062,
2015,TER,Mark E. Jagiela,29.0,Man,white,happy,0.0143696423037908,99.98562335968018,1.2496370822191238,0.6479607429355383,0.0852171564474701,77.29771137237549,11.425309628248216,9.294165670871736,0.0001426882989085,3.653262152774021e-12,1.636586315659641e-06,92.78330292900766,0.0002137689052514,0.0092407284580979,7.207096253979652,1.0572622494088395,4.311950326934062,
2016,TER,Mark E. Jagiela,29.0,Man,white,happy,0.0143696423037908,99.98562335968018,1.2496370822191238,0.6479607429355383,0.0852171564474701,77.29771137237549,11.425309628248216,9.294165670871736,0.0001426882989085,3.653262152774021e-12,1.636586315659641e-06,92.78330292900766,0.0002137689052514,0.0092407284580979,7.207096253979652,1.2430757357476925,4.311950326934062,
2017,TER,Mark E. Jagiela,29.0,Man,white,happy,0.0143696423037908,99.98562335968018,1.2496370822191238,0.6479607429355383,0.0852171564474701,77.29771137237549,11.425309628248216,9.294165670871736,0.0001426882989085,3.653262152774021e-12,1.636586315659641e-06,92.78330292900766,0.0002137689052514,0.0092407284580979,7.207096253979652,1.6615893611487698,4.311950326934062,
2018,TER,Mark E. Jagiela,32.0,Man,white,happy,0.0096842421044129,99.99032020568848,1.851673237979412,0.9766907431185246,0.1502395956777036,69.35867667198181,14.204902946949003,13.45781534910202,1.7509299210568194e-06,2.0260450825383532e-14,3.5265644611892365e-08,89.92583035538559,7.059764743951277e-05,0.0006222682546303,10.073476740536302,0.7562615474993767,4.311950326934062,
2019,TER,Mark E. Jagiela,52.0,Man,white,happy,0.0318894861266016,99.96811151504517,1.1806073122492655,1.7978306579195669,0.358388111112939,40.59576802304172,18.110670970598346,37.95673096695769,0.0057633766118669,6.18957130882336e-05,0.580276595428586,98.86212944984436,0.0074125418905168,0.0829003460239619,0.4614585544914007,2.2075889552250967,4.311950326934062,
2010,HPQ,Mark Hurd,38.0,Man,white,fear,0.0027663079890771,99.99723434448242,0.0176596266101114,0.0196938985027372,0.0014986092537583,94.7327435016632,2.407730184495449,2.820679359138012,0.730998028472301,0.0037234490373158,88.85260953276044,0.1608972595121253,10.192851997273925,0.0359847371177316,0.0229365397841882,0.80846655297948,0.80846655297948,
2011,PANW,Mark McLaughlin,40.0,Man,white,happy,0.0132516244775615,99.98674392700195,0.0001500069743087,0.0152630163938738,1.751871110400316e-05,80.87764978408813,17.427481710910797,1.6794387251138687,0.0246479554334655,0.0017489597667008,0.1366695505566895,77.85823345184326,0.4339856561273336,0.4883330781012773,21.05637639760971,1.0,2.7280258563683377,
2012,PANW,Mark McLaughlin,41.0,Man,white,happy,0.0063917344959918,99.99361038208008,0.0465148768853396,0.5394065752625465,0.0092297377705108,65.80156683921814,19.877584278583527,13.725702464580536,5.381503456192149e-05,4.37804209552084e-08,0.0031672454497311,99.9925971031189,9.602016461940366e-05,0.0001644326403038,0.0039232192648341,1.0073405462922478,2.7280258563683377,
2013,PANW,Mark McLaughlin,32.0,Man,white,happy,0.1024673460051417,99.8975396156311,0.0575407815631479,0.0580646563321352,0.0023229649741551,88.7627124786377,7.013809680938721,4.105548560619354,2.1534013914109105,7.530554620209321e-05,1.7134250231638564,60.563579831336725,1.7075502400130176,3.628777556346509,30.23319424588646,1.073804127699128,2.7280258563683377,
2014,PANW,Mark McLaughlin,41.0,Man,white,happy,0.0063917344959918,99.99361038208008,0.0465148768853396,0.5394065752625465,0.0092297377705108,65.80156683921814,19.877584278583527,13.725702464580536,5.381503456192149e-05,4.37804209552084e-08,0.0031672454497311,99.9925971031189,9.602016461940366e-05,0.0001644326403038,0.0039232192648341,2.1327650117836106,2.7280258563683377,
2015,PANW,Mark McLaughlin,29.0,Man,white,neutral,0.3953442443162203,99.60464835166933,0.3465867368504405,1.3220622204244137,0.0909959257114678,56.86741471290589,25.81973671913147,15.553203225135803,3.8924850523471832,0.0107618638139683,1.6495240852236748,0.0268565549049526,6.91990852355957,0.0754406908527016,87.42502927780151,1.437056374546818,2.7280258563683377,
2016,PANW,Mark McLaughlin,38.0,Man,white,happy,0.0063950014009606,99.99361038208008,0.4441084340214729,1.263449713587761,0.0758114852942526,53.4355103969574,20.00861167907715,24.772512912750244,1.56354332148112e-05,1.3083963352724306e-13,9.339374412720149e-09,98.57699871063232,9.732088983582798e-05,9.015512887344812e-05,1.4228014275431633,0.7099466531456498,2.7280258563683377,
2017,PANW,Mark McLaughlin,35.0,Man,white,surprise,0.0089633089373819,99.99103546142578,0.1998525345697999,0.2592671429738402,0.0150937397847883,79.21746373176575,11.433643847703934,8.87468084692955,2.607409656047821,0.4358552396297455,39.21044170856476,0.0080736172094475,4.061213508248329,53.66175174713135,0.0152628155774436,1.1590563991918732,2.7280258563683377,
2012,LRCX,Martin Anstice,,,,,,,,,,,,,,,,,,,,0.9759590861206904,3.80482588210878,
2013,LRCX,Martin Anstice,,,,,,,,,,,,,,,,,,,,1.5070578552832965,3.80482588210878,
2014,LRCX,Martin Anstice,34.0,Man,white,angry,0.5326267797499895,99.46737289428712,0.1115992316044867,0.3187169786542654,0.0205383010325022,79.25383448600769,14.59609717130661,5.699208378791809,45.92534948285228,0.9534030016180276,29.808204792951965,0.0070530796397531,20.183481850209017,0.3188644388554169,2.803644017440794,1.467960938073191,3.80482588210878,
