Year,Ticker,CEO,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral,Year_Cum_Ret_Overall,Tenure_Cum_Ret_Overall
2018,ADBE,Shantanu Narayen,41.0,Man,middle eastern,neutral,0.0004272545538697159,99.99957084655762,4.4161731700690785,26.747777849700707,4.505422174284199,13.438705988084557,28.2928701290047,22.5990521789727,32.85855948925018,3.9076536495485925e-05,1.5178224071860313,4.447057470679283,2.691929042339325,2.0260684192180634,56.45852088928223,1.2910294362093562,8.852520759965024
2019,ADBE,Shantanu Narayen,,,,,,,,,,,,,,,,,,,,1.4512906133562296,8.852520759965024
2013,JNPR,Shaygan Kheradpir,30.0,Man,middle eastern,happy,0.007402779738185927,99.9925971031189,0.23341856431216002,20.527969300746918,0.46511227265000343,5.196903273463249,63.85887265205383,9.717731177806854,1.1055031127166294e-06,1.0573771846600237e-08,2.0124683873943862e-05,99.90591407943796,0.03334623654995274,0.00018363016436635652,0.06052339892182959,1.1474326098787468,1.1474326098787468
2010,LRCX,Stephen G. Newberry,43.0,Man,white,neutral,0.4270377103239298,99.57296252250671,0.9369944407933284,0.891831344137352,0.11641022507148684,63.181962154145495,17.824958899612295,17.047851329785743,0.01786427164915949,0.00015629370864189696,0.05647666403092444,36.26716136932373,0.7160334847867489,0.0008164018254319672,62.94149160385132,1.2983951995078822,0.9282848453938786
2011,LRCX,Stephen G. Newberry,43.0,Man,white,neutral,0.4270377103239298,99.57296252250671,0.9369944407933284,0.891831344137352,0.11641022507148684,63.181962154145495,17.824958899612295,17.047851329785743,0.01786427164915949,0.00015629370864189696,0.05647666403092444,36.26716136932373,0.7160334847867489,0.0008164018254319672,62.94149160385132,0.7149478415706703,0.9282848453938786
2010,STX,Stephen J. Luczo,34.0,Man,white,angry,0.251636141911149,99.74836707115173,0.09431756334379315,0.15195207670331,0.007779400038998574,90.43440818786621,5.8301229029893875,3.481421247124672,65.10634422302246,0.0349470239598304,3.6566585302352905,0.01470724237151444,30.65205216407776,0.0012203241567476653,0.5340730771422386,0.7956592866586756,3.112865487774131
2011,STX,Stephen J. Luczo,34.0,Man,white,angry,0.251636141911149,99.74836707115173,0.09431756334379315,0.15195207670331,0.007779400038998574,90.43440818786621,5.8301229029893875,3.481421247124672,65.10634422302246,0.0349470239598304,3.6566585302352905,0.01470724237151444,30.65205216407776,0.0012203241567476653,0.5340730771422386,1.1300298530030806,3.112865487774131
2012,STX,Stephen J. Luczo,25.0,Man,white,happy,0.01005148296826519,99.98995065689087,0.0004356395298146456,0.0011990655171593588,9.7824275404502e-06,97.78153287062244,1.012405627215244,1.204417717720134,0.164779054466635,7.136337671909132e-05,0.009483098256168887,80.08228540420532,0.13508035335689783,0.28159848880022764,19.326704740524292,1.953562112890732,3.112865487774131
2013,STX,Stephen J. Luczo,34.0,Man,white,angry,0.19357713172212243,99.80642199516296,0.05307854153215885,0.09274478652514517,0.0060121979913674295,90.70793390274048,4.476557672023773,4.663674905896187,64.7295313751139,0.25818465095724474,3.3830266753466933,0.002451743713531825,31.411410142351407,0.0018356757578710066,0.21356477154073375,1.8978681739773744,3.112865487774131
2014,STX,Stephen J. Luczo,35.0,Man,white,angry,0.046199216740205884,99.95380640029907,0.04383035963880179,0.06647277437546995,0.0054397547105507005,92.18394709729833,4.03048867168955,3.669823924888606,97.79287006940007,9.82161506059244e-05,0.25136442186809516,0.004909386695105119,1.932416625926897,1.2159152589697944e-05,0.018325130075107655,1.2245045454382448,3.112865487774131
2015,STX,Stephen J. Luczo,34.0,Man,white,angry,0.251636141911149,99.74836707115173,0.09431756334379315,0.15195207670331,0.007779400038998574,90.43440818786621,5.8301229029893875,3.481421247124672,65.10634422302246,0.0349470239598304,3.6566585302352905,0.01470724237151444,30.65205216407776,0.0012203241567476653,0.5340730771422386,0.5763528949662438,3.112865487774131
2016,STX,Stephen J. Luczo,34.0,Man,white,angry,0.251636141911149,99.74836707115173,0.09431756334379315,0.15195207670331,0.007779400038998574,90.43440818786621,5.8301229029893875,3.481421247124672,65.10634422302246,0.0349470239598304,3.6566585302352905,0.01470724237151444,30.65205216407776,0.0012203241567476653,0.5340730771422386,1.1340805458327543,3.112865487774131
2017,STX,Stephen J. Luczo,30.0,Man,white,happy,0.013367673091124743,99.9866247177124,1.5005213072072365e-06,2.937609266950858e-06,9.17237119590908e-09,99.89950060844421,0.040855034603737295,0.059641076950356364,0.006482853200014508,9.243914796563047e-11,0.05120151660469471,98.58115290066354,0.0008425504035150422,1.1076992495714277,0.25262306304986415,1.1666947765968718,3.112865487774131
2012,WDC,Stephen Milligan,28.0,Man,white,happy,0.10556927882134914,99.8944342136383,3.394476089102483e-08,1.4392510794269953e-08,8.951499480894243e-11,99.99827146530151,0.0009903822501655668,0.000736840047466103,7.138982330637256e-11,2.1667878510888373e-20,1.54895845685298e-13,99.99988079071045,1.7864979244205936e-11,3.319843705495984e-09,0.00011951033229706809,1.3906812633722117,2.2566188980756805
2013,WDC,Stephen Milligan,39.0,Man,white,happy,0.02278066531289369,99.97722506523132,3.8307082657861036e-11,8.746229651981907e-11,1.7679429170280387e-14,99.99929666519165,0.0005832475380884716,0.00012069936019543093,1.8581838219950417e-13,1.3998806690053285e-24,5.631450904216933e-15,99.99973773956299,1.2324273546138187e-09,8.395370106939507e-18,0.00026194393285550177,1.9745823624483063,2.2566188980756805
2014,WDC,Stephen Milligan,33.0,Man,white,happy,0.3504136111587286,99.64959025382996,9.759677788157006e-09,2.1705833311291833e-09,7.273309965373162e-12,99.99885559082031,0.0006676326847809833,0.00048150923248613253,1.05503022984621e-08,1.5737840106736164e-16,5.541734172248569e-10,99.98177886009216,4.8649184680726876e-08,0.000149965489981696,0.018069516227114946,1.329717472594988,2.2566188980756805
2015,WDC,Stephen Milligan,,,,,,,,,,,,,,,,,,,,0.5493510592212719,2.2566188980756805
2016,WDC,Stephen Milligan,39.0,Man,white,happy,0.028307014144957066,99.97169375419617,3.370991404118254e-10,4.219566354281272e-10,1.7990631470915794e-13,99.99858736983462,0.0009605453332826973,0.0004512800656585481,2.1707533601960747e-20,0.0,8.704589362164035e-25,100.0,7.491328130361993e-17,7.036737700124013e-29,1.502840956063914e-11,1.1664061771867285,2.2566188980756805
2017,WDC,Stephen Milligan,39.0,Man,white,happy,0.02278066531289369,99.97722506523132,3.8307082657861036e-11,8.746229651981907e-11,1.7679429170280387e-14,99.99929666519165,0.0005832475380884716,0.00012069936019543093,1.8581838219950417e-13,1.3998806690053285e-24,5.631450904216933e-15,99.99973773956299,1.2324273546138187e-09,8.395370106939507e-18,0.00026194393285550177,1.1844040653237204,2.2566188980756805
2018,WDC,Stephen Milligan,39.0,Man,white,happy,0.05187181523069739,99.94812607765198,1.178994126320199e-08,2.9118613771958286e-08,1.2486459753420118e-11,99.98946189754747,0.007456964683478213,0.0030834817190753855,2.1017805300989972e-16,1.6844586091443753e-32,8.848880925059654e-19,100.0,4.1920939049970086e-14,5.434304079440133e-25,7.637913738978153e-10,0.4718855144543181,2.2566188980756805
2019,WDC,Stephen Milligan,39.0,Man,white,happy,0.03366866149008274,99.96633529663086,1.4040172019794128e-10,7.228947041665323e-10,2.2192606266406307e-13,99.9982476234436,0.0012327101103437599,0.000522421987625421,5.033236197618529e-11,4.702040221707258e-28,8.34921019758478e-18,100.0,3.8744951956548644e-14,2.3125461727957285e-19,5.223229401080109e-10,1.7256776561430422,2.2566188980756805
2010,MU,Steve Appleton,27.0,Man,white,happy,0.039932806976139545,99.96007084846497,0.00011565452950890176,0.0002018626901190146,3.077063936984814e-06,99.66052770614624,0.18001411808654666,0.15913734678179026,4.711710843707806e-06,1.5591103938314431e-24,1.5427699075817063e-16,99.9998688697815,1.9001687972652198e-11,1.1616938964606471e-11,0.00012555333341879304,0.739170551452243,0.5797235321354566
2011,MU,Steve Appleton,34.0,Man,white,neutral,0.0040528044337406754,99.99594688415527,0.1739672152325511,0.31594508327543736,0.0163597273058258,82.30425715446472,9.321661293506622,7.867811620235443,0.056513119488954544,2.9547083529868345e-09,0.004957261262461543,27.994409203529358,0.06318663363344967,0.00040987324609886855,71.88052535057068,0.7842892699073006,0.5797235321354566
