Name,Year,Search_URL
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2015,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVDA&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Scott A. McGregor,2010,"https://www.google.com/search?q=Scott%20A.%20McGregor%20AVGO&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Scott A. McGregor,2011,"https://www.google.com/search?q=Scott%20A.%20McGregor%20AVGO&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
